category,icon_name
AWS,aws-account
AWS,aws-activate
AWS,aws-alexa-for-business
AWS,aws-amplify
AWS,aws-analytics
AWS,aws-apache-mxnet-on-aws
AWS,aws-api-gateway
AWS,aws-app-mesh
AWS,aws-app-mesh-virtual-gateway
AWS,aws-app-mesh-virtual-node
AWS,aws-app-mesh-virtual-router
AWS,aws-app-mesh-virtual-service
AWS,aws-app-runner
AWS,aws-app-studio
AWS,aws-appconfig
AWS,aws-appfabric
AWS,aws-appflow
AWS,aws-application-auto-scaling
AWS,aws-application-cost-profiler
AWS,aws-application-discovery-service
AWS,aws-application-integration
AWS,aws-application-migration-service
AWS,aws-application-recovery-controller
AWS,aws-appstream
AWS,aws-appsync
AWS,aws-artifact
AWS,aws-artificial-intelligence
AWS,aws-athena
AWS,aws-audit-manager
AWS,aws-augmented-ai-a2i
AWS,aws-aurora
AWS,aws-auto-scaling
AWS,aws-auto-scaling-group
AWS,aws-b2b-data-interchange
AWS,aws-backint-agent
AWS,aws-backup
AWS,aws-batch
AWS,aws-bedrock
AWS,aws-billing-conductor
AWS,aws-blockchain
AWS,aws-bottlerocket
AWS,aws-braket
AWS,aws-budgets
AWS,aws-business-applications
AWS,aws-certificate-manager
AWS,aws-chatbot
AWS,aws-chime
AWS,aws-chime-sdk
AWS,aws-chime-voice-connector
AWS,aws-clean-rooms
AWS,aws-client-vpn
AWS,aws-cloud-control-api
AWS,aws-cloud-development-kit
AWS,aws-cloud-directory
AWS,aws-cloud-financial-management
AWS,aws-cloud-map
AWS,aws-cloud-map-namespace
AWS,aws-cloud-map-resource
AWS,aws-cloud-map-service
AWS,aws-cloud-wan
AWS,aws-cloud-wan-core-network-edge
AWS,aws-cloud-wan-segment-network
AWS,aws-cloud-wan-transit-gateway-route-table-attachment
AWS,aws-cloud-wan-virtual-pop
AWS,aws-cloud9
AWS,aws-cloudendure-disaster-recovery
AWS,aws-cloudformation
AWS,aws-cloudfront
AWS,aws-cloudfront-download-distribution
AWS,aws-cloudfront-edge-location
AWS,aws-cloudfront-functions
AWS,aws-cloudfront-streaming-distribution
AWS,aws-cloudhsm
AWS,aws-cloudsearch
AWS,aws-cloudseaws
AWS,aws-cloudshell
AWS,aws-cloudtrail
AWS,aws-cloudwatch
AWS,aws-codeartifact
AWS,aws-codebuild
AWS,aws-codecatalyst
AWS,aws-codecommit
AWS,aws-codedeploy
AWS,aws-codeguru
AWS,aws-codepipeline
AWS,aws-codestar
AWS,aws-codewhisperer
AWS,aws-cognito
AWS,aws-command-line-interface
AWS,aws-comprehend
AWS,aws-comprehend-medical
AWS,aws-compute
AWS,aws-compute-optimizer
AWS,aws-config
AWS,aws-connect
AWS,aws-console-mobile-application
AWS,aws-contact-center
AWS,aws-containers
AWS,aws-control-tower
AWS,aws-corporate-data-center
AWS,aws-corretto
AWS,aws-cost-and-usage-report
AWS,aws-cost-explorer
AWS,aws-customer-enablement
AWS,aws-data-exchange
AWS,aws-data-firehose
AWS,aws-data-pipeline
AWS,aws-data-transfer-terminal
AWS,aws-database
AWS,aws-database-migration-service
AWS,aws-datasync
AWS,aws-datazone
AWS,aws-dcv
AWS,aws-deadline-cloud
AWS,aws-deep-learning-amis
AWS,aws-deep-learning-containers
AWS,aws-deepcomposer
AWS,aws-deeplens
AWS,aws-deepracer
AWS,aws-detective
AWS,aws-developer-tools
AWS,aws-device-farm
AWS,aws-devops-guru
AWS,aws-direct-connect
AWS,aws-direct-connect-gateway
AWS,aws-directory-service
AWS,aws-distro-for-opentelemetry
AWS,aws-documentdb
AWS,aws-dynamodb
AWS,aws-ec2
AWS,aws-ec2-auto-scaling
AWS,aws-ec2-image-builder
AWS,aws-ec2-instance-contents
AWS,aws-ec2-m5n
AWS,aws-ec2-r5n
AWS,aws-ecs-anywhere
AWS,aws-efs
AWS,aws-eks-anywhere
AWS,aws-eks-cloud
AWS,aws-eks-distro
AWS,aws-elastic-beanstalk
AWS,aws-elastic-block-store
AWS,aws-elastic-container-kubernetes
AWS,aws-elastic-container-registry
AWS,aws-elastic-container-service
AWS,aws-elastic-disaster-recovery
AWS,aws-elastic-fabric-adapter
AWS,aws-elastic-inference
AWS,aws-elastic-kubernetes-service
AWS,aws-elastic-load-balancing
AWS,aws-elastic-transcoder
AWS,aws-elastic-vmware-service
AWS,aws-elasticache
AWS,aws-elb-application-load-balancer
AWS,aws-elb-classic-load-balancer
AWS,aws-elb-gateway-load-balancer
AWS,aws-elb-network-load-balancer
AWS,aws-elemental-appliances-
AWS,aws-elemental-conductor
AWS,aws-elemental-delta
AWS,aws-elemental-link
AWS,aws-elemental-live
AWS,aws-elemental-mediaconnect
AWS,aws-elemental-mediaconvert
AWS,aws-elemental-medialive
AWS,aws-elemental-mediapackage
AWS,aws-elemental-mediastore
AWS,aws-elemental-mediatailor
AWS,aws-elemental-server
AWS,aws-emr
AWS,aws-end-user-computing
AWS,aws-end-user-messaging
AWS,aws-endpoints
AWS,aws-entity-resolution
AWS,aws-eventbridge
AWS,aws-express-workflows
AWS,aws-fargate
AWS,aws-fault-injection-service
AWS,aws-fault-injection-simulator
AWS,aws-file-cache
AWS,aws-finspace
AWS,aws-firewall-manager
AWS,aws-forecast
AWS,aws-fraud-detector
AWS,aws-freertos
AWS,aws-front-end-web-mobile
AWS,aws-fsx
AWS,aws-fsx-for-lustre
AWS,aws-fsx-for-netapp-ontap
AWS,aws-fsx-for-openzfs
AWS,aws-fsx-for-wfs
AWS,aws-game-tech
AWS,aws-gamekit
AWS,aws-gamelift
AWS,aws-games
AWS,aws-gamesparks
AWS,aws-genomics-cli
AWS,aws-global-accelerator
AWS,aws-glue
AWS,aws-glue-databrew
AWS,aws-glue-elastic-views
AWS,aws-ground-station
AWS,aws-guardduty
AWS,aws-health-dashboard
AWS,aws-healthimaging
AWS,aws-healthlake
AWS,aws-healthomics
AWS,aws-healthscribe
AWS,aws-honeycode
AWS,aws-iam-identity-center
AWS,aws-icons
AWS,aws-identity-and-access-management
AWS,aws-infrastructure-composer
AWS,aws-inspector
AWS,aws-interactive-video-service
AWS,aws-internet-gateway
AWS,aws-internet-of-things
AWS,aws-iot-1-click
AWS,aws-iot-analytics
AWS,aws-iot-button
AWS,aws-iot-core
AWS,aws-iot-device-defender
AWS,aws-iot-device-management
AWS,aws-iot-edukit
AWS,aws-iot-events
AWS,aws-iot-expresslink
AWS,aws-iot-fleetwise
AWS,aws-iot-greengrass
AWS,aws-iot-roborunner
AWS,aws-iot-sitewise
AWS,aws-iot-things-graph
AWS,aws-iot-twinmaker
AWS,aws-iq
AWS,aws-kendra
AWS,aws-key-management-service
AWS,aws-keyspaces
AWS,aws-kinesis
AWS,aws-kinesis-data-analytics
AWS,aws-kinesis-data-streams
AWS,aws-kinesis-firehose
AWS,aws-kinesis-video-streams
AWS,aws-lake-formation
AWS,aws-lambda
AWS,aws-launch-wizard
AWS,aws-lex
AWS,aws-license-manager
AWS,aws-lightsail
AWS,aws-lightsail-for-research
AWS,aws-local-zones
AWS,aws-location-service
AWS,aws-lookout-for-equipment
AWS,aws-lookout-for-metrics
AWS,aws-lookout-for-vision
AWS,aws-machine-learning
AWS,aws-macie
AWS,aws-mainframe-modernization
AWS,aws-managed-blockchain
AWS,aws-managed-grafana
AWS,aws-managed-service-for-apache-flink
AWS,aws-managed-service-for-prometheus
AWS,aws-managed-services
AWS,aws-managed-streaming-for-ap
AWS,aws-managed-streaming-for-apache-kafka
AWS,aws-managed-workflows-for-apache-airflow
AWS,aws-management-console
AWS,aws-management-governance
AWS,aws-marketplace
AWS,aws-media-services
AWS,aws-memorydb
AWS,aws-memorydb-for-redis
AWS,aws-mesh
AWS,aws-migration-evaluator
AWS,aws-migration-hub
AWS,aws-migration-modernization
AWS,aws-migration-transfer
AWS,aws-monitron
AWS,aws-mq
AWS,aws-nat-gateway
AWS,aws-neptune
AWS,aws-network-access-control-list
AWS,aws-network-firewall
AWS,aws-networking-content-delivery
AWS,aws-neuron
AWS,aws-nice-dcv
AWS,aws-nice-enginframe
AWS,aws-nimble-studio
AWS,aws-nitro-enclaves
AWS,aws-nova
AWS,aws-open-3d-engine
AWS,aws-opensearch-service
AWS,aws-opsworks
AWS,aws-oracle-database-at-aws
AWS,aws-organizations
AWS,aws-outposts-family
AWS,aws-outposts-rack
AWS,aws-outposts-servers
AWS,aws-panorama
AWS,aws-parallel-cluster
AWS,aws-parallel-computing-service
AWS,aws-parallelcluster
AWS,aws-payment-cryptography
AWS,aws-personal-health-dashboard
AWS,aws-personalize
AWS,aws-pinpoint
AWS,aws-pinpoint-apis
AWS,aws-polly
AWS,aws-private-5g
AWS,aws-private-certificate-authority
AWS,aws-private-subnet
AWS,aws-privatelink
AWS,aws-professional-services
AWS,aws-proton
AWS,aws-public-subnet
AWS,aws-pytorch-on-aws
AWS,aws-q
AWS,aws-quantum-ledger-database
AWS,aws-quantum-technologies
AWS,aws-quicksight
AWS,aws-rds
AWS,aws-rds-on-vmware
AWS,aws-red-hat-openshift
AWS,aws-red-hat-openshift-service-on-aws
AWS,aws-redshift
AWS,aws-region
AWS,aws-rekognition
AWS,aws-repost
AWS,aws-repost-private
AWS,aws-reserved-instance-reporting
AWS,aws-resilience-hub
AWS,aws-resource-access-manager
AWS,aws-resource-explorer
AWS,aws-robomaker
AWS,aws-robotics
AWS,aws-route-53
AWS,aws-route-53-application-recovery-controller
AWS,aws-route-53-hosted-zone
AWS,aws-route-53-readiness-checks
AWS,aws-route-53-resolver
AWS,aws-route-53-resolver-dns-firewall
AWS,aws-route-53-resolver-query-logging
AWS,aws-route-53-routing-controls
AWS,aws-route-table
AWS,aws-s3-on-outposts
AWS,aws-sagemaker
AWS,aws-sagemaker-ai
AWS,aws-sagemaker-ground-truth
AWS,aws-sagemaker-studio-lab
AWS,aws-satellite
AWS,aws-savings-plans
AWS,aws-secrets-manager
AWS,aws-security-hub
AWS,aws-security-identity-compliance
AWS,aws-security-incident-response
AWS,aws-security-lake
AWS,aws-server-contents
AWS,aws-server-migration-service
AWS,aws-serverless
AWS,aws-serverless-application-repository
AWS,aws-service-catalog
AWS,aws-service-management-connector
AWS,aws-shield
AWS,aws-signer
AWS,aws-simple-email-service
AWS,aws-simple-notification-service
AWS,aws-simple-queue-service
AWS,aws-simple-storage-service
AWS,aws-simple-storage-service-glacier
AWS,aws-simspace-weaver
AWS,aws-site-to-site-vpn
AWS,aws-snowball
AWS,aws-snowball-edge
AWS,aws-snowcone
AWS,aws-snowmobile
AWS,aws-spot-fleet
AWS,aws-step-functions
AWS,aws-storage
AWS,aws-storage-gateway
AWS,aws-sumerian
AWS,aws-supply-chain
AWS,aws-support
AWS,aws-systems-manager
AWS,aws-systems-manager-incident-manager
AWS,aws-telco-network-builder
AWS,aws-tensorflow-on-aws
AWS,aws-textract
AWS,aws-thinkbox-deadline
AWS,aws-thinkbox-frost
AWS,aws-thinkbox-krakatoa
AWS,aws-thinkbox-sequoia
AWS,aws-thinkbox-stoke
AWS,aws-thinkbox-xmesh
AWS,aws-timestream
AWS,aws-tools-and-sdks
AWS,aws-torchserve
AWS,aws-training-certification
AWS,aws-transcribe
AWS,aws-transfer-family
AWS,aws-transit-gateway
AWS,aws-transit-gateway-attachment
AWS,aws-translate
AWS,aws-trusted-advisor
AWS,aws-user-notifications
AWS,aws-verified-access
AWS,aws-verified-permissions
AWS,aws-virtual-private-cloud
AWS,aws-vmware-cloud-on-aws
AWS,aws-vpc
AWS,aws-vpc-carrier-gateway
AWS,aws-vpc-carrier-gateway-network-access-analyzer
AWS,aws-vpc-customer-gateway
AWS,aws-vpc-elastic-network-adapter
AWS,aws-vpc-elastic-network-interface
AWS,aws-vpc-flow-logs
AWS,aws-vpc-lattice
AWS,aws-vpc-peering-connection
AWS,aws-vpc-reachability-analyzer
AWS,aws-vpc-router
AWS,aws-vpc-traffic-mirroring
AWS,aws-vpn-connection
AWS,aws-vpn-gateway
AWS,aws-vr-ar
AWS,aws-waf
AWS,aws-wavelength
AWS,aws-well-architected-tool
AWS,aws-wickr
AWS,aws-workdocs
AWS,aws-workdocs-sdk
AWS,aws-worklink
AWS,aws-workmail
AWS,aws-workspaces
AWS,aws-workspaces-family
AWS,aws-workspaces-web
AWS,aws-x-ray
General,activity
General,activity-square
General,airplay
General,airplay-audio
General,airplay-video
General,airplane
General,alert-circle
General,alert-octagon
General,alert-triangle
General,align-center
General,align-justify
General,align-left
General,align-right
General,anchor
General,broadcast-tower
General,camera
General,camera-off
General,camera-retro
General,chart-line
General,cloud
General,cloud-drizzle
General,cloud-lightning
General,cloud-off
General,cloud-rain
General,cloud-snow
General,cloud-upload
General,computer
General,cut
General,database
General,file
General,file-minus
General,file-plus
General,file-text
General,file-video
General,files
General,film
General,flag
General,gear
General,globe
General,images
General,layer-group
General,layers
General,magic
General,microchip
General,network
General,network-wired
General,object-group
General,server
General,shield
General,shield-check
General,shield-off
General,sign-out
General,twitch
General,user
General,user-check
General,user-lock
General,user-minus
General,user-plus
General,user-x
General,users
General,video
General,video-off
General,window
General,window-maximize
General,windows
